timestamp,tipo,detalle,usuario,peticion,nodo,codigo
2025-10-28 12:01:08,LOGIN_OK,Inicio de sesión exitoso,agustina,,11,200
2025-10-28 12:01:08,EVENTO_INFO,Usuario operario conectado,,,11,200
2025-10-28 12:01:08,EVENTO_INFO,Reporte generado para usuario agustina,,,11,200
2025-10-28 12:01:26,LOGIN_OK,Inicio de sesión exitoso,agustina,,12,200
2025-10-28 12:01:26,EVENTO_INFO,Usuario operario conectado,,,12,200
2025-10-28 12:01:26,PETICION,Petición recibida,agustina,mover brazo x=0 y=170 z=120,12,200
2025-10-28 12:01:30,LOGIN_OK,Inicio de sesión exitoso,agustina,,13,200
2025-10-28 12:01:30,EVENTO_INFO,Usuario operario conectado,,,13,200
2025-10-28 12:01:30,EVENTO_INFO,Reporte generado para usuario agustina,,,13,200
2025-10-28 12:28:03,EVENTO_INFO,Servidor escuchando en puerto 8080,,,-1,200
2025-10-28 12:28:58,LOGIN_OK,Inicio de sesión exitoso,agustina,,1,200
2025-10-28 12:28:58,EVENTO_INFO,Usuario operario conectado,,,1,200
2025-10-28 12:28:58,PETICION,Petición recibida,agustina,encender motores,1,200
2025-10-28 12:29:00,LOGIN_OK,Inicio de sesión exitoso,agustina,,2,200
2025-10-28 12:29:00,EVENTO_INFO,Usuario operario conectado,,,2,200
2025-10-28 12:29:00,PETICION,Petición recibida,agustina,apagar motores,2,200
2025-10-28 12:29:05,LOGIN_OK,Inicio de sesión exitoso,agustina,,3,200
2025-10-28 12:29:05,EVENTO_INFO,Usuario operario conectado,,,3,200
2025-10-28 12:29:05,PETICION,Petición recibida,agustina,activar gripper,3,200
2025-10-28 12:29:09,LOGIN_OK,Inicio de sesión exitoso,agustina,,4,200
2025-10-28 12:29:09,EVENTO_INFO,Usuario operario conectado,,,4,200
2025-10-28 12:29:09,PETICION,Petición recibida,agustina,desactivar gripper,4,200
2025-10-28 12:29:11,LOGIN_OK,Inicio de sesión exitoso,agustina,,5,200
2025-10-28 12:29:11,EVENTO_INFO,Usuario operario conectado,,,5,200
2025-10-28 12:29:11,PETICION,Petición recibida,agustina,activar gripper,5,200
2025-10-28 12:29:15,LOGIN_OK,Inicio de sesión exitoso,agustina,,6,200
2025-10-28 12:29:15,EVENTO_INFO,Usuario operario conectado,,,6,200
2025-10-28 12:29:15,PETICION,Petición recibida,agustina,desactivar gripper,6,200
2025-10-28 12:29:24,LOGIN_OK,Inicio de sesión exitoso,agustina,,7,200
2025-10-28 12:29:24,EVENTO_INFO,Usuario operario conectado,,,7,200
2025-10-28 12:29:24,PETICION,Petición recibida,agustina,homing,7,200
2025-10-28 12:29:36,LOGIN_OK,Inicio de sesión exitoso,agustina,,8,200
2025-10-28 12:29:36,EVENTO_INFO,Usuario operario conectado,,,8,200
2025-10-28 12:29:36,PETICION,Petición recibida,agustina,modo absoluto,8,200
2025-10-28 12:29:37,LOGIN_OK,Inicio de sesión exitoso,agustina,,9,200
2025-10-28 12:29:37,EVENTO_INFO,Usuario operario conectado,,,9,200
